player,attack angle,body direction,bat direction,hand speed,hinge angle,bat speed,velocity vector2,velocity vector,vertical bat angle,body rotation rate,bat rotation rate,x_knob,y_knob,z_knob,x_barrel,y_barrel,z_barrel
Player 1,-0.07634011,-1.7008197,4.0903206,0.37143707,-0.81868047,0.58463717,"[-0.45976046, 0.44625726, -0.04900806]","[-0.16903006, 0.32403973, 0.06627658]",0.8531227,0.05829472,-0.73783386,0.6668449,-0.84959066,0.73831546,0.6548816,-0.49901274,1.1401458
Player 1,-0.08545895,-1.7006999,4.091682,0.37258595,-0.82016164,0.586678,"[-0.45640734, 0.4513495, -0.05498926]","[-0.17007633, 0.32524404, 0.06411427]",0.8524443,0.06196576,-0.7440453,0.6665072,-0.84893996,0.73844475,0.6539713,-0.4981094,1.140037
Player 1,-0.09565721,-1.7005719,4.0930514,0.37370828,-0.821659,0.5890392,"[-0.4525882, 0.45692506, -0.06170838]","[-0.17100137, 0.3265414, 0.06153969]",0.85174286,0.06563822,-0.7491265,0.6661677,-0.84828675,0.73856914,0.6530687,-0.49719492,1.1399151
Player 1,-0.10546026,-1.7004364,4.094423,0.37450996,-0.8231664,0.5898518,"[-0.4471609, 0.46184757, -0.06804758]","[-0.17152075, 0.32767832, 0.05886655]",0.8510211,0.06913236,-0.7517281,0.66582704,-0.8476312,0.73868847,0.65217704,-0.4962706,1.1397806
Player 1,-0.11421438,-1.7002946,4.095788,0.37482512,-0.8246735,0.58814025,"[-0.43949053, 0.46556345, -0.07344371]","[-0.17146613, 0.32852378, 0.05626149]",0.8502841,0.07256548,-0.7524199,0.66548645,-0.84697396,0.73880273,0.65130055,-0.49533886,1.1396357
Player 1,-0.12171282,-1.7001468,4.097142,0.37478563,-0.8261754,0.5853506,"[-0.43166327, 0.4679273, -0.07787011]","[-0.17132394, 0.32897052, 0.0537659]",0.8495367,0.07626901,-0.7533205,0.6651461,-0.84631574,0.7389122,0.6504397,-0.4944023,1.139482
Player 1,-0.12885723,-1.6999913,4.0984898,0.3747193,-0.8276784,0.5841598,"[-0.4263334, 0.4697421, -0.08219784]","[-0.17171575, 0.3290964, 0.05122323]",0.8487798,0.08047412,-0.75619227,0.6648049,-0.845657,0.7390167,0.64958936,-0.4934618,1.1393199
Player 1,-0.13712507,-1.6998262,4.099839,0.3748049,-0.82919294,0.5855708,"[-0.42337033, 0.4722587, -0.08752057]","[-0.17259699, 0.3291566, 0.0484244]",0.8480093,0.08508953,-0.76091653,0.6644618,-0.8449979,0.7391156,0.64874494,-0.492516,1.139147
Player 1,-0.1464764,-1.6996508,4.101194,0.37487438,-0.83072305,0.58784246,"[-0.42047518, 0.47546846, -0.09364218]","[-0.17344478, 0.3292155, 0.04544082]",0.8472217,0.08983127,-0.76593864,0.664117,-0.8443384,0.7392086,0.64790624,-0.49156362,1.1389619
Player 1,-0.15523846,-1.6994661,4.102549,0.37465578,-0.83226275,0.58869743,"[-0.41633973, 0.47799507, -0.09920247]","[-0.17403376, 0.32903817, 0.04258046]",0.8464195,0.09454876,-0.77014524,0.66377103,-0.8436792,0.7392958,0.64707583,-0.4906061,1.1387657
Player 1,-0.16259123,-1.6992728,4.1038985,0.37418973,-0.8338059,0.5880617,"[-0.41173935, 0.4792053, -0.10363949]","[-0.17463599, 0.3285177, 0.03995408]",0.84560776,0.09936131,-0.7739888,0.66342396,-0.8430209,0.7393778,0.6462547,-0.48964605,1.1385607
