"player","attack.angle","vertical.bat.angle","hand.speed","bat.speed","body.rotation.rate","bat.rotation.rate","x_knob","y_knob","z_knob","x_barrel","y_barrel","z_barrel","time_index","flag"
"Player 1",-0.085,0.853,0.373,0.587,0.058,-0.738,0.666,-0.848,0.739,0.653,-0.497,1.14,1,0
"Player 1",-0.089,0.852,0.373,0.587,0.062,-0.744,0.666,-0.848,0.739,0.653,-0.497,1.14,2,0
"Player 1",-0.094,0.852,0.373,0.587,0.066,-0.749,0.666,-0.848,0.739,0.653,-0.497,1.14,3,0
"Player 1",-0.102,0.851,0.374,0.587,0.069,-0.752,0.666,-0.848,0.739,0.652,-0.496,1.14,4,0
"Player 1",-0.11,0.85,0.374,0.587,0.073,-0.752,0.666,-0.847,0.739,0.652,-0.496,1.14,5,0
"Player 1",-0.119,0.85,0.375,0.587,0.076,-0.753,0.665,-0.847,0.739,0.651,-0.495,1.14,6,0
"Player 1",-0.128,0.849,0.375,0.587,0.08,-0.756,0.665,-0.846,0.739,0.65,-0.494,1.139,7,0
"Player 1",-0.137,0.848,0.375,0.587,0.085,-0.761,0.665,-0.845,0.739,0.649,-0.493,1.139,8,0
"Player 1",-0.146,0.847,0.375,0.587,0.09,-0.766,0.664,-0.845,0.739,0.648,-0.492,1.139,9,0
"Player 1",-0.154,0.846,0.375,0.588,0.095,-0.77,0.664,-0.844,0.739,0.647,-0.491,1.139,10,0
"Player 1",-0.163,0.846,0.375,0.588,0.099,-0.774,0.664,-0.843,0.739,0.647,-0.49,1.139,11,0
"Player 1",-0.171,0.845,0.374,0.589,0.104,-0.779,0.663,-0.843,0.739,0.646,-0.489,1.138,12,0
"Player 1",-0.18,0.844,0.374,0.59,0.11,-0.784,0.663,-0.842,0.74,0.645,-0.488,1.138,13,0
"Player 1",-0.188,0.843,0.374,0.591,0.116,-0.789,0.662,-0.841,0.74,0.644,-0.487,1.138,14,0
"Player 1",-0.197,0.842,0.374,0.592,0.121,-0.792,0.662,-0.84,0.74,0.643,-0.486,1.138,15,0
"Player 1",-0.206,0.841,0.373,0.592,0.127,-0.794,0.662,-0.84,0.74,0.642,-0.485,1.137,16,0
"Player 1",-0.215,0.84,0.373,0.592,0.132,-0.797,0.661,-0.839,0.74,0.642,-0.484,1.137,17,0
"Player 1",-0.224,0.84,0.372,0.593,0.139,-0.802,0.661,-0.838,0.74,0.641,-0.483,1.137,18,0
"Player 1",-0.234,0.839,0.372,0.593,0.145,-0.806,0.661,-0.838,0.74,0.64,-0.482,1.137,19,0
"Player 1",-0.243,0.838,0.371,0.594,0.151,-0.809,0.66,-0.837,0.74,0.639,-0.481,1.136,20,0
"Player 1",-0.252,0.837,0.371,0.594,0.157,-0.81,0.66,-0.836,0.74,0.639,-0.48,1.136,21,0
"Player 1",-0.261,0.836,0.371,0.594,0.164,-0.812,0.659,-0.836,0.74,0.638,-0.479,1.136,22,0
"Player 1",-0.269,0.835,0.371,0.594,0.171,-0.813,0.659,-0.835,0.74,0.637,-0.478,1.135,23,0
"Player 1",-0.278,0.834,0.372,0.594,0.178,-0.815,0.659,-0.835,0.74,0.636,-0.477,1.135,24,0
"Player 1",-0.286,0.833,0.372,0.594,0.185,-0.814,0.658,-0.834,0.74,0.636,-0.476,1.135,25,0
"Player 1",-0.294,0.832,0.373,0.594,0.191,-0.812,0.658,-0.833,0.74,0.635,-0.475,1.134,26,0
"Player 1",-0.302,0.831,0.373,0.594,0.197,-0.81,0.658,-0.833,0.74,0.634,-0.474,1.134,27,0
"Player 1",-0.31,0.83,0.374,0.593,0.204,-0.809,0.657,-0.832,0.74,0.634,-0.473,1.133,28,0
"Player 1",-0.318,0.829,0.374,0.592,0.211,-0.808,0.657,-0.831,0.74,0.633,-0.472,1.133,29,0
"Player 1",-0.326,0.828,0.374,0.591,0.217,-0.806,0.656,-0.831,0.74,0.633,-0.471,1.133,30,0
"Player 1",-0.334,0.827,0.375,0.59,0.224,-0.801,0.656,-0.83,0.74,0.632,-0.47,1.132,31,0
"Player 1",-0.342,0.826,0.375,0.589,0.23,-0.795,0.656,-0.829,0.74,0.631,-0.469,1.132,32,0
"Player 1",-0.35,0.825,0.375,0.587,0.237,-0.79,0.655,-0.829,0.74,0.631,-0.468,1.131,33,0
"Player 1",-0.358,0.824,0.375,0.585,0.245,-0.785,0.655,-0.828,0.74,0.63,-0.467,1.131,34,0
"Player 1",-0.367,0.823,0.376,0.583,0.253,-0.781,0.654,-0.828,0.739,0.63,-0.466,1.131,35,0
"Player 1",-0.377,0.822,0.376,0.582,0.263,-0.777,0.654,-0.827,0.739,0.629,-0.465,1.13,36,0
"Player 1",-0.387,0.821,0.376,0.58,0.273,-0.774,0.654,-0.826,0.739,0.629,-0.464,1.13,37,0
"Player 1",-0.397,0.82,0.377,0.578,0.283,-0.769,0.653,-0.826,0.739,0.628,-0.463,1.129,38,0
"Player 1",-0.408,0.819,0.377,0.575,0.294,-0.762,0.653,-0.825,0.739,0.628,-0.462,1.129,39,0
"Player 1",-0.418,0.818,0.378,0.572,0.305,-0.753,0.652,-0.824,0.739,0.627,-0.461,1.128,40,0
"Player 1",-0.429,0.817,0.38,0.568,0.318,-0.743,0.652,-0.824,0.739,0.627,-0.46,1.128,41,0
"Player 1",-0.439,0.816,0.382,0.565,0.332,-0.734,0.652,-0.823,0.739,0.626,-0.459,1.127,42,0
"Player 1",-0.449,0.815,0.384,0.561,0.348,-0.727,0.651,-0.823,0.738,0.626,-0.458,1.127,43,0
"Player 1",-0.46,0.814,0.387,0.557,0.364,-0.721,0.651,-0.822,0.738,0.625,-0.457,1.126,44,0
"Player 1",-0.471,0.814,0.391,0.554,0.381,-0.711,0.65,-0.821,0.738,0.625,-0.456,1.126,45,0
"Player 1",-0.482,0.813,0.394,0.55,0.397,-0.698,0.65,-0.821,0.738,0.625,-0.455,1.125,46,0
"Player 1",-0.494,0.812,0.398,0.546,0.413,-0.684,0.649,-0.82,0.738,0.624,-0.454,1.125,47,0
"Player 1",-0.506,0.811,0.402,0.542,0.43,-0.673,0.649,-0.82,0.737,0.624,-0.453,1.124,48,0
"Player 1",-0.518,0.81,0.406,0.538,0.449,-0.665,0.648,-0.819,0.737,0.624,-0.452,1.124,49,0
"Player 1",-0.53,0.81,0.411,0.534,0.469,-0.659,0.648,-0.819,0.737,0.623,-0.451,1.123,50,0
"Player 1",-0.542,0.809,0.417,0.531,0.489,-0.653,0.647,-0.818,0.737,0.623,-0.451,1.123,51,0
"Player 1",-0.554,0.808,0.422,0.526,0.509,-0.641,0.647,-0.817,0.736,0.623,-0.45,1.122,52,0
"Player 1",-0.567,0.808,0.429,0.521,0.53,-0.623,0.646,-0.817,0.736,0.623,-0.449,1.121,53,0
"Player 1",-0.579,0.807,0.435,0.514,0.55,-0.6,0.646,-0.816,0.736,0.622,-0.448,1.121,54,0
"Player 1",-0.592,0.806,0.442,0.507,0.572,-0.575,0.645,-0.816,0.735,0.622,-0.447,1.12,55,0
"Player 1",-0.605,0.806,0.45,0.5,0.595,-0.554,0.645,-0.815,0.735,0.622,-0.446,1.12,56,0
"Player 1",-0.618,0.805,0.457,0.492,0.619,-0.538,0.644,-0.814,0.735,0.622,-0.446,1.119,57,0
"Player 1",-0.632,0.805,0.465,0.484,0.645,-0.525,0.643,-0.814,0.734,0.622,-0.445,1.119,58,0
"Player 1",-0.646,0.804,0.474,0.475,0.67,-0.508,0.643,-0.813,0.734,0.621,-0.444,1.118,59,0
"Player 1",-0.661,0.804,0.482,0.466,0.695,-0.482,0.642,-0.813,0.733,0.621,-0.443,1.118,60,0
"Player 1",-0.677,0.804,0.49,0.455,0.718,-0.448,0.641,-0.812,0.733,0.621,-0.443,1.117,61,0
"Player 1",-0.695,0.803,0.498,0.443,0.741,-0.411,0.641,-0.812,0.732,0.621,-0.442,1.116,62,0
"Player 1",-0.713,0.803,0.507,0.431,0.765,-0.375,0.64,-0.811,0.732,0.621,-0.441,1.116,63,0
"Player 1",-0.733,0.803,0.516,0.419,0.792,-0.345,0.639,-0.811,0.731,0.621,-0.441,1.115,64,0
